what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432515609590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432515615299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432515657173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432515661559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432515671890
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432515671894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432515674295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519961460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519968397
error,log,,,"Internal Error",1432519971681
error,log,,,"Problems encountered while deleting resources.",1432519971684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519983222
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1432519983237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432519983237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519991580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519992963
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1432519992969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432519992969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519994834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432519995979
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1432519995986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432519995986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520004344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520057217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520061748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520068879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520068886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520070995
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432520071004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520087203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520087950
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432520105591
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432520114321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520118233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520162155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520163648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520167961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520168832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520281466
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432520286003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520289000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520300681
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432520300689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520306215
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1432520307666
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1432520307699
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432520307894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520314683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1432520314695
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432520315628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520322340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520337463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1432520337476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520337763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520337865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520342158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520348467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520348811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520352731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520355543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520356581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520363111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520363182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520365173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432520369830
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432520369851
