what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1432249618499
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1432249618499
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1432249618613
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1432249618673
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1432249618673
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1432249618674
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1432249618674
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1432249618675
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1432249618757
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1432249618758
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1432249618758
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1432249618758
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1432249618758
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1432249618759
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1432249618759
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1432249618760
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1432249618760
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1432249618899
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1432249618900
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1432249618975
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1432249618978
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1432249619010
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1432249619071
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1432249619071
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1432249619071
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1432249619072
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1432249619073
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1432249619073
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1432249619074
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1432249619074
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1432249619099
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1432249619177
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1432249619178
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1432249619396
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1432249619397
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1432249619398
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1432249619398
os,sysinfo,,,"win32",1432249619401
arch,sysinfo,,,"x86_64",1432249619401
ws,sysinfo,,,"win32",1432249619401
locale,sysinfo,,,"en_US",1432249619401
processors,sysinfo,,,"8",1432249619401
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1432249619401
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1432249619401
java.specification.name,sysinfo,,,"Java Platform API Specification",1432249619401
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1432249619401
java.specification.version,sysinfo,,,"1.6",1432249619401
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1432249619401
java.version,sysinfo,,,"1.6.0_23",1432249619401
java.vm.info,sysinfo,,,"mixed mode",1432249619401
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1432249619401
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1432249619401
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1432249619401
java.vm.specification.version,sysinfo,,,"1.0",1432249619401
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1432249619401
java.vm.version,sysinfo,,,"19.0-b09",1432249619401
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1432249620171
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1432249620258
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1432249621362
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1432249621452
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1432249623674
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1432249624771
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1432249625417
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1432249630683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432249821138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432249823299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432249824168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432249826085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432249827512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251335531
started,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1432251346876
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432251347598
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1432251348403
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1432251348543
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1432251348544
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1432251348545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251352663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251525257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432251539197
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251542738
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251542759
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1432251543308
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1432251598019
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1432251598034
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1432251598076
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432251610032
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251616767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1432251626610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251628078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432251632374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432251647710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251717424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251717427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251717536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251797257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432251801454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251807184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251832534
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251846357
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432251846374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432251851740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251872184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251879432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251885935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251900913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1432251949930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432251951983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251968767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432251983136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252011448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252017080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1432252023507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432252024879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432252031640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1432252042428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432252045391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432252047628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252050023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252055919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1432252057963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432252060158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1432252062059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252064039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252072951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252080735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252084079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252096167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252098767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432252102192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252104958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252109224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1432252111414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432252112944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252119486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252124104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252144791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432252204551
