what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432256282073
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256285485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256314316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256314382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256319852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256535638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256535680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256716291
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432256721047
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256724255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256794898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256844172
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432256870659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1432256875184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1432256879910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1432256888850
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256894668
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432256894920
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256898645
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432256915554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256917564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256918553
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432256918748
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256919994
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432256920180
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432256923366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256978307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432256987961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257006473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257277025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432257278220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1432257278868
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432257278960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257287589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257290464
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432257290860
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432257292828
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432257293354
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432257296669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257334673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257606736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257608040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257629455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432257631568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257635400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257637319
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432257637667
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432257639612
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432257639937
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432257643478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432257685558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432258167500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1432258168878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432258170614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432258171638
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1432258171870
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432258173160
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1432258173419
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1432258176897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432258208133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1432258219516
